156	158.25	24	24
279.75	28.5	21	21
247.5	47.25	25.5	25.5
492.75	182.25	25.5	25.5
187.5	51.75	19.5	19.5
441.75	186	24.75	24.75
195	187.5	19.5	19.5
280.5	66.75	19.5	19.5
268.5	71.25	21.75	21.75
201	81.75	22.5	22.5
380.25	215.25	19.5	19.5
165.75	83.25	22.5	22.5
33	85.5	21.75	21.75
3	90.75	21.75	21.75
295.5	252.75	21	21
155.25	248.25	29.25	29.25
456	117.75	25.5	25.5
0	264	19.5	19.5
243.75	124.5	25.5	25.5
158.25	129	23.25	23.25
0	273.75	18.75	18.75
522.75	135	25.5	25.5
84	277.5	25.5	25.5
88.5	138	24.75	24.75
447.75	137.25	23.25	23.25
243.75	141.75	21.75	21.75
305.25	304.5	23.25	23.25
573	144.75	33	33
258.75	152.25	34.5	34.5
388.5	186	33	33
44.25	331.5	37.5	37.5
2.25	342.75	29.25	29.25
31.5	370.5	22.5	22.5
521.25	290.25	36	36
315	371.25	27	27
156.75	486.75	21	21
305.25	444.75	22.5	22.5
273.75	40.5	24.75	24.75
453	216	27	27
324.75	255.75	25.5	25.5
474	144	26.25	26.25
79.5	251.25	42.75	42.75
417.75	258.75	31.5	31.5
161.25	405.75	46.5	46.5
266.25	45	35.25	35.25
82.5	153	35.25	35.25
9	429.75	37.5	37.5
561	255.75	33	33
105.75	317.25	46.5	46.5
406.5	402	49.5	49.5
498.75	356.25	41.25	41.25
0.75	411	38.25	38.25
554.25	355.5	36.75	36.75
27.75	427.5	39	39
429.75	429.75	44.25	44.25
151.5	144	45.75	45.75
331.5	360	51.75	51.75
318.75	459	57.75	57.75
4.5	280.5	45.75	45.75
267	36	46.5	46.5
514.5	127.5	66.75	66.75
