324.75	63	23.25	23.25
255	81	20.25	20.25
264	84.75	18.75	18.75
396.75	85.5	27	27
163.5	95.25	27	27
234	102	18	18
495.75	98.25	27.75	27.75
180.75	105.75	19.5	19.5
243	99.75	33.75	33.75
514.5	116.25	29.25	29.25
220.5	124.5	19.5	19.5
429.75	479.25	20.25	20.25
560.25	532.5	19.5	19.5
54.75	132	36	36
658.5	162	32.25	32.25
615	213	24	24
272.25	189.75	23.25	23.25
132.75	120	29.25	29.25
669.75	318.75	34.5	34.5
184.5	146.25	30	30
430.5	121.5	24.75	24.75
253.5	122.25	29.25	29.25
664.5	338.25	32.25	32.25
361.5	145.5	36	36
294.75	190.5	52.5	52.5
597	279	51.75	51.75
128.25	148.5	45	45
482.25	134.25	64.5	64.5
