287.25	496.5	20.25	20.25
376.5	507.75	21	21
288.75	508.5	21	21
325.5	517.5	20.25	20.25
225	177	21	21
281.25	544.5	20.25	20.25
297	547.5	18.75	18.75
21.75	244.5	21.75	21.75
305.25	445.5	21	21
311.25	454.5	20.25	20.25
239.25	141.75	28.5	28.5
172.5	199.5	27.75	27.75
325.5	250.5	20.25	20.25
419.25	268.5	24	24
320.25	363.75	20.25	20.25
248.25	511.5	20.25	20.25
366	533.25	24.75	24.75
282	441.75	25.5	25.5
153.75	148.5	22.5	22.5
558	156	24.75	24.75
346.5	246	27.75	27.75
209.25	254.25	33	33
257.25	500.25	33	33
24	443.25	29.25	29.25
392.25	308.25	48	48
333	361.5	48	48
662.25	525.75	37.5	37.5
