274.5	205.5	27	27
208.5	330	20.25	20.25
65.25	498	23.25	23.25
476.25	524.25	19.5	19.5
342	222.75	25.5	25.5
199.5	222.75	22.5	22.5
461.25	227.25	27	27
246.75	232.5	24	24
496.5	231	26.25	26.25
553.5	236.25	28.5	28.5
627	234	23.25	23.25
177	240.75	24	24
546	240	22.5	22.5
306.75	232.5	27	27
320.25	247.5	20.25	20.25
526.5	248.25	27	27
192	253.5	22.5	22.5
372.75	255.75	21.75	21.75
653.25	348	20.25	20.25
636	350.25	20.25	20.25
335.25	357.75	20.25	20.25
231	363	18	18
342.75	372	18.75	18.75
151.5	253.5	31.5	31.5
515.25	255	22.5	22.5
144	302.25	20.25	20.25
666.75	299.25	19.5	19.5
129.75	282.75	30	30
133.5	309	19.5	19.5
318	300	23.25	23.25
202.5	282.75	32.25	32.25
372.75	313.5	19.5	19.5
232.5	318.75	19.5	19.5
364.5	294	20.25	20.25
529.5	303	26.25	26.25
225	222.75	27	27
503.25	306	42	42
209.25	318.75	19.5	19.5
360	233.25	28.5	28.5
225	248.25	30.75	30.75
563.25	330.75	26.25	26.25
615.75	253.5	21.75	21.75
657	250.5	28.5	28.5
609	262.5	35.25	35.25
276.75	268.5	24	24
120	255	30	30
561.75	265.5	27	27
656.25	272.25	31.5	31.5
443.25	278.25	35.25	35.25
221.25	311.25	24.75	24.75
490.5	315	27	27
447.75	108	25.5	25.5
168	282	28.5	28.5
87	254.25	28.5	28.5
644.25	296.25	30.75	30.75
505.5	261	27.75	27.75
351.75	306.75	27	27
566.25	297.75	45.75	45.75
204	313.5	28.5	28.5
253.5	318.75	34.5	34.5
649.5	349.5	30	30
584.25	238.5	33	33
100.5	252	31.5	31.5
381	269.25	36.75	36.75
618	285	37.5	37.5
634.5	316.5	31.5	31.5
315	320.25	33	33
285	309	46.5	46.5
66	222	45.75	45.75
452.25	294.75	45.75	45.75
231	260.25	47.25	47.25
483.75	276.75	36	36
98.25	285.75	42.75	42.75
539.25	285	37.5	37.5
271.5	249.75	40.5	40.5
267	293.25	43.5	43.5
631.5	311.25	42.75	42.75
345.75	504.75	58.5	58.5
