103.5	252	22.5	22.5
120	255	24	24
159.75	250.5	22.5	22.5
276.75	204	20.25	20.25
393.75	252.75	27	27
567	255	20.25	20.25
471.75	255.75	22.5	22.5
343.5	217.5	24	24
524.25	259.5	23.25	23.25
561.75	222.75	20.25	20.25
198	225.75	19.5	19.5
225	265.5	19.5	19.5
461.25	231	20.25	20.25
303.75	231	22.5	22.5
595.5	234.75	21.75	21.75
182.25	240	20.25	20.25
657.75	267	23.25	23.25
499.5	237.75	22.5	22.5
246	267	22.5	22.5
540.75	242.25	24	24
555	244.5	19.5	19.5
630	243	23.25	23.25
58.5	275.25	23.25	23.25
579.75	249	21	21
165.75	273.75	24	24
270	249.75	19.5	19.5
492.75	276	26.25	26.25
656.25	249.75	21.75	21.75
435.75	279	27.75	27.75
352.5	286.5	20.25	20.25
519	297	21	21
653.25	299.25	21.75	21.75
460.5	304.5	27.75	27.75
294	309	21	21
505.5	313.5	25.5	25.5
567	314.25	29.25	29.25
638.25	312.75	24	24
256.5	326.25	22.5	22.5
231.75	153.75	22.5	22.5
174	297	29.25	29.25
621	252	21.75	21.75
291.75	268.5	19.5	19.5
93.75	278.25	24.75	24.75
606.75	273.75	26.25	26.25
597.75	290.25	24	24
63	501	25.5	25.5
296.25	319.5	33.75	33.75
121.5	284.25	24	24
315.75	275.25	27	27
358.5	303.75	25.5	25.5
291	267	26.25	26.25
270	294	36	36
456	345	33.75	33.75
619.5	247.5	35.25	35.25
87.75	280.5	41.25	41.25
618	328.5	45	45
59.25	249.75	51	51
156.75	297	60	60
