322.5	62.25	23.25	23.25
497.25	96	27	27
161.25	97.5	27.75	27.75
279.75	218.25	18.75	18.75
238.5	105	30	30
513.75	120.75	25.5	25.5
234.75	126	18	18
582	327	20.25	20.25
657.75	147	27.75	27.75
587.25	16.5	24.75	24.75
117	440.25	21	21
258	81	23.25	23.25
176.25	104.25	24.75	24.75
128.25	111.75	34.5	34.5
254.25	125.25	27	27
667.5	314.25	38.25	38.25
349.5	156	36	36
612.75	210	30	30
53.25	128.25	43.5	43.5
250.5	82.5	37.5	37.5
263.25	313.5	42.75	42.75
645.75	158.25	44.25	44.25
294.75	187.5	61.5	61.5
417.75	99	53.25	53.25
78	116.25	54	54
344.25	150	60	60
228	78	64.5	64.5
