287.25	193.5	19.5	19.5
469.5	197.25	25.5	25.5
458.25	215.25	28.5	28.5
253.5	216.75	20.25	20.25
254.25	229.5	19.5	19.5
406.5	328.5	23.25	23.25
375	255.75	24	24
330.75	266.25	27	27
344.25	271.5	21	21
381.75	233.25	30	30
607.5	245.25	30	30
477	387	22.5	22.5
535.5	316.5	21	21
266.25	193.5	27	27
311.25	201.75	30.75	30.75
453	66.75	27.75	27.75
267.75	214.5	32.25	32.25
339	213	35.25	35.25
431.25	264	32.25	32.25
195.75	191.25	42	42
174.75	381	35.25	35.25
418.5	246	35.25	35.25
395.25	313.5	39.75	39.75
279.75	183	38.25	38.25
333.75	194.25	39.75	39.75
210.75	207	46.5	46.5
332.25	246	43.5	43.5
295.5	263.25	48.75	48.75
369.75	285.75	55.5	55.5
483	57	53.25	53.25
352.5	261.75	52.5	52.5
